Region,SA3 Area,NOM in 2022 and 2023,Latitude,Longitude
Greater Melbourne,Melbourne City,25489,-37.8136,144.9631
Greater Sydney,Sydney Inner City,24917,-33.8688,151.2093
Greater Melbourne,Monash,14816,-37.8768,145.0425
Greater Sydney,Parramatta,13226,-33.814,151.0017
Greater Melbourne,Wyndham,12311,-37.9052,144.6619
Greater Sydney,Strathfield - Burwood - Ashfield,11468,-33.883,151.1
Greater Sydney,Eastern Suburbs - South,11467,-33.9258,151.2593
Greater Melbourne,Dandenong,11302,-37.9848,145.2124
Greater Sydney,Kogarah - Rockdale,9303,-33.9623,151.137
Greater Sydney,Ryde - Hunters Hill,8422,-33.815,151.1071
Greater Brisbane,Brisbane Inner,8371,-27.4698,153.0251
Greater Perth,Stirling,8240,-31.8839,115.8097
Greater Perth,Perth City,7972,-31.9505,115.8605
Greater Melbourne,Glen Eira,7936,-37.8847,145.034
Greater Melbourne,Whitehorse - West,7812,-37.819,145.113
Greater Melbourne,Boroondara,7739,-37.8224,145.036
Greater Sydney,Auburn,7724,-33.8507,151.0321
Greater Melbourne,Tullamarine - Broadmeadows,7651,-37.6848,144.863
Greater Sydney,Hurstville,7444,-33.9648,151.1013
Greater Melbourne,Port Phillip,7393,-37.8552,144.9787
Greater Melbourne,Brimbank,7306,-37.7439,144.8
Greater Sydney,Canterbury,7298,-33.9084,151.1044
Greater Sydney,Whittlesea - Wallan,7171,-37.5171,145.1185
Greater Perth,Eastern Suburbs - North,7070,-33.8981,151.2593
Greater Sydney,Fairfield,6604,-33.8728,150.942
Greater Sydney,Chatswood - Lane Cove,6561,-33.7963,151.1788
Greater Sydney,Blacktown,5333,-33.7666,150.9043
Greater Melbourne,Casey - South,632,-38.0995,145.3055
Greater Melbourne,Yarra,6121,-37.802,144.978
Greater Sydney,Merrylands - Guildford,5838,-33.8332,150.9936
Greater Sydney,Maribyrnong,5824,-37.778,144.8884
Greater Sydney,Darebin - North,5625,-37.7187,145.0063
Greater Perth,Wanneroo,5619,-31.7511,115.7951
Greater Melbourne,Bankstown,5311,-33.9186,151.0341
Greater Melbourne,North Sydney - Mosman,5193,-33.8307,151.2193
Greater Melbourne,Baulkham Hills,5150,-33.7444,150.9919
Greater Sydney,Warringah,4935,-33.7595,151.2393
Greater Sydney,Gosnells,4903,-32.0777,116.0029
Greater Sydney,Manningham - West,4811,-37.77,145.134
Greater Sydney,Brunswick - Coburg,4741,-37.7605,144.963
Greater Perth,Stonnington - West,4601,-37.853,145.021
Greater Melbourne,Ku-ring-gai,4512,-33.7364,151.1311
Greater Melbourne,Blacktown - North,4298,-33.7415,150.9
Greater Melbourne,Joondalup,4123,-31.746,115.7655
Greater Sydney,Newcastle,3909,-32.9267,151.7789
Greater Sydney,Liverpool,4023,-33.92,150.924
Greater Perth,Cottesloe - Claremont,3655,-31.9869,115.7524
Greater Sydney,Canada Bay,3607,-33.8488,151.1341
Greater Brisbane,Mt Gravatt,3742,-27.5354,153.0766
Greater Melbourne,Moreland - North,3811,-37.7389,144.96
Greater Sydney,Wollongong,3789,-34.4244,150.8935
Greater Brisbane,Sherwood - Indooroopilly,3892,-27.5036,152.9816
Greater Melbourne,Melton - Bacchus Marsh,3829,-37.6833,144.5833
Greater Adelaide,Salisbury,3796,-34.7631,138.6491
Rest of New South Wales,Wollongong,3789,-34.4244,150.8935
Greater Brisbane,Mt Gravatt,3742,-27.5354,153.0766
Rest of Victoria,Geelong,3683,-38.1499,144.3617
Greater Perth,Cottesloe - Claremont,3655,-31.9869,115.7524
Greater Perth,Melville,3645,-32.0411,115.8335
Greater Sydney,Canada Bay,3607,-33.8488,151.1341
Greater Melbourne,Knox,3589,-37.8781,145.2475
Rest of Queensland,Ormeau - Oxenford,3540,-27.8074,153.312
Greater Perth,Swan,3530,-31.8655,116.0017
Greater Adelaide,Charles Sturt,3454,-34.9,138.5
Greater Melbourne,Banyule,3412,-37.727,145.0536
Greater Melbourne,Kingston,3396,-42.9708,147.3031
Greater Adelaide,Marion,3332,-35.0147,138.5464
Greater Melbourne,Essendon,3328,-37.7482,144.911
Greater Adelaide,West Torrens,3289,-34.9463,138.5517
Greater Brisbane,Sunnybank,3287,-27.5833,153.055
Greater Adelaide,Port Adelaide - East,3281,-34.8433,138.5076
Greater Melbourne,Bayside,3257,-37.9455,145.0192
Greater Sydney,Hornsby,3216,-33.7037,151.0993
Rest of Queensland,Surfers Paradise,3172,-28.0027,153.4295
Greater Perth,Cockburn,3121,-32.1249,115.856
Greater Perth,Rockingham,2991,-32.2816,115.7353
