Year,Country,Population,Population Percentage
1990,Afghanistan,2729.0,0.03728905687107237
1995,Afghanistan,7893.0,0.10357415472506395
2000,Afghanistan,12580.0,0.1574742630348445
2005,Afghanistan,18617.0,0.20968705302682253
2010,Afghanistan,30840.0,0.28640104857701676
2015,Afghanistan,49550.0,0.3999993541887319
2020,Afghanistan,60879.0,0.4306396667382761
1990,Albania,984.0,0.013445376314083992
1995,Albania,1315.0,0.01725579798092729
2000,Albania,1530.0,0.019152275233967574
2005,Albania,2270.0,0.025567471148460395
2010,Albania,2880.0,0.026745623213417908
2015,Albania,3460.0,0.027931337345974014
2020,Albania,3941.0,0.02787744421911572
1990,Algeria,665.0,0.009086560212262047
1995,Algeria,950.0,0.012466165841734544
2000,Algeria,1170.0,0.014645857531857558
2005,Algeria,1330.0,0.01498006018830499
2010,Algeria,1380.0,0.012815611123096081
2015,Algeria,1600.0,0.01291622536230012
2020,Algeria,1776.0,0.012562887828761613
1990,Samoa,64.0,0.000874496020428227
1995,Samoa,94.0,0.0012334943043400496
2000,Samoa,120.0,0.0015021392340366724
2005,Samoa,120.0,0.0013515843778921794
2010,Samoa,120.0,0.001114400967225746
2015,Samoa,120.0,0.0009687169021725092
2020,Samoa,0.0,0.0
1990,Andorra,297.0,0.004058208094799741
1995,Andorra,142.0,0.0018633637363434793
2000,Andorra,-11.0,-0.00013769609645336166
2005,Andorra,-29.0,-0.00032663289132394335
2010,Andorra,-50.0,-0.0004643337363440609
2015,Andorra,-45.0,-0.0003632688383146909
2020,Andorra,-39.0,-0.00027587422596942737
1990,Angola,310.0,0.004235840098949224
1995,Angola,370.0,0.00485524353835977
2000,Angola,420.0,0.005257487319128354
2005,Angola,450.0,0.005068441417095672
2010,Angola,530.0,0.0049219376052470456
2015,Angola,560.0,0.004520678876805043
2020,Angola,602.0,0.004258366257271673
1990,Anguilla,0.0,0.0
1995,Anguilla,0.0,0.0
2000,Anguilla,0.0,0.0
2005,Anguilla,0.0,0.0
2010,Anguilla,0.0,0.0
2015,Anguilla,0.0,0.0
2020,Anguilla,0.0,0.0
1990,Barbuda,14.0,0.00019129600446867468
1995,Barbuda,8.0,0.00010497823866723827
