MS:text,2005:number,2010:number,2017:number
EU28,456.33264,477.6756023,515.6824796
Austria,506.8672155,531.7516565,558.3783633
Belgium,470.8663305,486.7478082,509.6534651
Bulgaria,330.100267,350.590412,390.1253179
Croatia,321.2119342,352.1854251,384.2092353
Cyprus,484.4031992,564.8607076,616.0689844
Czech Republic,388.1808301,429.7421318,523.5198255
Denmark,363.0631971,390.9265443,440.1023941
Estonia,363.3955183,414.523472,551.7822192
Finland,464.107416,537.7033079,619.8042737
France,485.8309012,505.3595752,491.6137284
Germany,550.0007158,510.2258609,555.0489882
Greece,392.2665013,469.1732538,490.6115631
Hungary,286.082791,297.9794742,354.3736038
Ireland,404.2637642,411.7001082,447.7609757
Italy,599.0087768,620.4411434,635.4789518
Latvia,329.9960351,300.2588064,353.5871712
Lithuania,433.7348967,538.468467,476.4862158
Luxembourg,666.9665893,671.7025252,682.756951
Malta,528.2763964,581.9910296,633.6430609
Netherlands,434.9625397,466.6999779,490.1935175
Poland,323.2318681,453.4060804,592.605834
Portugal,400.2030745,443.751768,490.7547577
Romania,157.3259895,212.8488531,305.3393978
Slovakia,242.6533474,309.6239433,409.011354
Slovenia,480.6857263,518.6411565,541.1383444
Spain,467.7300884,476.426453,505.0805725
Sweden,460.9387762,464.034639,484.7172424
United Kingdom,460.6709808,458.2813105,478.647045
